pk	pn	lat	lon	link	tilecount_running_total	sketchfab_status	sketchfab_id	center_3857	other_sites_3857
C1254	Vasilika: Palaiokastro	38.971404	23.368698	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1254	33879	OK	https://api.sketchfab.com/v3/models/10070c309f1c40f29aeb102a01490930	[2601391.5618617903,4717576.268294401,190.48362731933594]	
C1255	Distomon	38.474442	22.682321	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1255	34000	OK	https://api.sketchfab.com/v3/models/bd51a3ce997f495395db2769f095bf60	[2524984.4237295757,4646667.068837438,889.5333251953125]	
C1256	Drymaia	38.705628	22.540972	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1256	34121	OK	https://api.sketchfab.com/v3/models/95dcd9d4fd3d435fad9f7ac6d68c0fa9	[2509249.5250254376,4679592.598184219,1048.21435546875]	
C1257	Magoula	39.813017	22.08255	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1257	34242	OK	https://api.sketchfab.com/v3/models/3ecea7a2f33e4c34946c6b868ce7f6e5	[2458218.2214170033,4838807.507057297,352.4647216796875]	
C1258	Elasson: Panayia	39.89807	22.183291	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1258	34363	OK	https://api.sketchfab.com/v3/models/1b167136e3b5490fa7afb788cce3bc56	[2469432.6582390084,4851141.126498595,695.8856201171875]	
C1259	Tatar Magoula	39.722651	22.382845	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1259	34484	OK	https://api.sketchfab.com/v3/models/e00ccfeae2f44eafb0b1faebfd449459	[2491646.907904769,4825720.153487643,156.20790100097656]	
C126	Dorion: Kondra	37.312524	21.862726	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C126	34616	OK	https://api.sketchfab.com/v3/models/8a17d268e03f4bef83d96a0de5e43290	[2433747.5256728623,4482758.5921085905,567.703369140625]	
C1260	Rachmani: Magoula	39.760179	22.482034	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1260	34760	OK	https://api.sketchfab.com/v3/models/902b354e6bef4e3d9db13f2260d5204a	[2502688.576877063,4831153.101284172,164.873291015625]	
C1261	Bounarbashi	39.772421	22.544255	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1261	34881	OK	https://api.sketchfab.com/v3/models/190066744b314f959f731199b76a8a92	[2509614.9869137113,4832926.022226296,221.61207580566406]	
C1262	Argyropouli: Kastri	39.832518	22.305212	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1262	35002	OK	https://api.sketchfab.com/v3/models/943652f4630c4e03a3ca05d61ff89cc1	[2483004.841876015,4841634.016370393,375.0909118652344]	
C1263	Magoula Pera Machala	39.792486	22.384743	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1263	35123	OK	https://api.sketchfab.com/v3/models/80c8b884b8c6410c986ccbcc796ec73d	[2491858.192298295,4835832.574137315,114.00753784179688]	
C1264	Gonnos	39.855151	22.495996	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1264	35255	OK	https://api.sketchfab.com/v3/models/1b15ad78d04a453294729f1278a8f4ae	[2504242.8196075186,4844915.489599476,222.68479919433594]	
C1265	Tsairli Magoula	39.764404	22.393591	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1265	35376	OK	https://api.sketchfab.com/v3/models/d7da1cd14b5a428ca26ddd0ae7c5e22f	[2492843.147152834,4831764.942069305,127.8552017211914]	
C1266	Larisa: Acropolis	39.641549	22.415483	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1266	35497	OK	https://api.sketchfab.com/v3/models/090871a6448e45dfbf31d74eac940cf9	[2495280.1534452797,4813989.064667371,174.8516845703125]	
C1267	Souphli Magoula	39.676846	22.447937	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1267	35629	OK	https://api.sketchfab.com/v3/models/8561a34b96e54072bc33a6cf7a248659	[2498892.9161994853,4819092.945317971,133.69747924804688]	
C1268	Karagats Magoula	39.6776	22.474177	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1268	35750	OK	https://api.sketchfab.com/v3/models/8f4e9e8390c047c78eff1f6dc426bd7d	[2501813.9396379003,4819202.000761929,132.79440307617188]	
C1269	Volos: Kastro	39.363568	22.934623	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1269	35871	OK	https://api.sketchfab.com/v3/models/7e7a4867379b484393b761a1864eaefd	[2553070.5538957,4773884.181028732,22.714399337768555]	
C127	Kephalovrysi: Tsoukedha	37.345378	21.806914	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C127	35992	OK	https://api.sketchfab.com/v3/models/6faa6b71fabf4f788486cdef347d1426	[2427534.5622527087,4487357.990517162,943.7782592773438]	
C1270	Pefkakia	39.347677	22.939016	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1270	36113	OK	https://api.sketchfab.com/v3/models/e86e5c2b944b410097e3a954378ff1b2	[2553559.580418755,4771596.38882193,24.140869140625]	
C1271	Dimini: Mycenaean Hab	39.36109	22.893942	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1271	36223	OK	https://api.sketchfab.com/v3/models/2e76225086f34dc18ae20a0277e2c5c7	[2548541.965690739,4773527.394586981,45.61759948730469]	C1272:[2548173.275537232,4773705.498262384,58.64857864379883]
C1272	Dimini: Tholos Tomb at Lamiospito	39.362327	22.89063	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1272	36344	OK	https://api.sketchfab.com/v3/models/8b294b7c02a94b5b80bf81d9b86f8188	[2548173.275537232,4773705.498262384,58.64857864379883]	C1271:[2548541.965690739,4773527.394586981,45.61759948730469]
C1273	Sesklo: Kastraki	39.355644	22.841866	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1273	36476	OK	https://api.sketchfab.com/v3/models/bd06f9d1ba9c4074aa267a7b2bb6b311	[2542744.891888188,4772743.315186107,312.834228515625]	
C1274	Nea Ankhialos: Pyrasos	39.277956	22.820765	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1274	36597	OK	https://api.sketchfab.com/v3/models/7404e441e63b47fcbabbcc8e4e8832cf	[2540395.93931296,4761564.952487067,17.13279914855957]	
